Age,Gender,Race,Prior_Offenses,Risk_Score,re-offend,Employment_Status,Location,Family_Background
42,0,1,0,1,0,Employed,Rural,No Criminal Background
49,1,2,1,0.433469277,0,Student,Rural,Criminal Background
43,0,1,3,0.94683488,0,Part-Time,Urban,Criminal Background
69,1,1,1,0.545498076,0,Unemployed,Urban,No Criminal Background
39,1,0,3,0.232593599,0,Employed,Urban,No Criminal Background
48,1,3,1,0.360047776,1,Student,Rural,Criminal Background
60,1,3,3,0.070964633,0,Employed,Urban,Criminal Background
27,1,2,0,0.331777509,1,Employed,Urban,Criminal Background
29,0,3,2,0.585372987,1,Student,Rural,No Criminal Background
45,0,0,2,1,0,Student,Urban,Criminal Background
23,1,2,4,0.378443283,0,Unemployed,Rural,Criminal Background
37,0,2,3,1,0,Unemployed,Rural,No Criminal Background
22,0,3,4,0.251744103,0,Employed,Urban,No Criminal Background
40,1,1,4,0.240620811,0,Employed,Rural,Criminal Background
26,0,1,3,0.827226858,0,Unemployed,Rural,Criminal Background
46,0,1,2,1,0,Unemployed,Rural,No Criminal Background
33,0,1,3,0.064370428,0,Employed,Urban,Criminal Background
63,0,0,0,0.280864182,1,Part-Time,Rural,Criminal Background
39,1,2,4,0.47846785,0,Part-Time,Rural,Criminal Background
25,0,1,4,0.436925723,1,Part-Time,Urban,Criminal Background
37,1,0,3,0.712621079,0,Student,Urban,Criminal Background
68,1,2,4,0.61722642,0,Unemployed,Rural,No Criminal Background
31,0,3,2,0.185214767,0,Part-Time,Rural,Criminal Background
56,1,3,4,0.894465379,1,Part-Time,Urban,Criminal Background
54,0,0,3,0.42795716,0,Unemployed,Rural,No Criminal Background
67,1,2,2,0.731131109,0,Student,Urban,Criminal Background
51,0,1,2,1,1,Part-Time,Urban,Criminal Background
28,0,2,4,1,0,Student,Urban,No Criminal Background
57,1,1,3,0.690931349,0,Student,Rural,No Criminal Background
50,0,0,4,0.677419067,1,Employed,Urban,Criminal Background
48,0,1,0,0.508342214,1,Unemployed,Urban,No Criminal Background
61,0,0,0,0.745997223,0,Employed,Urban,Criminal Background
51,0,2,2,0.535207926,0,Part-Time,Rural,Criminal Background
67,1,2,4,0.459534983,1,Employed,Rural,No Criminal Background
24,1,1,0,1,1,Unemployed,Urban,No Criminal Background
66,1,2,1,0.050168843,0,Student,Urban,Criminal Background
40,0,1,0,1,1,Student,Rural,Criminal Background
63,1,2,4,0.89467333,0,Part-Time,Rural,Criminal Background
24,0,3,4,0.739839074,0,Unemployed,Rural,No Criminal Background
42,0,1,0,0.647067768,0,Student,Urban,No Criminal Background
20,0,0,4,0.41788751,0,Part-Time,Rural,Criminal Background
55,1,3,4,1,0,Unemployed,Urban,Criminal Background
37,1,0,1,0.127844733,0,Unemployed,Urban,Criminal Background
51,1,2,2,0.619725997,0,Employed,Rural,Criminal Background
66,1,3,4,0.68168159,0,Student,Urban,Criminal Background
61,0,2,3,1,0,Unemployed,Urban,Criminal Background
61,1,1,2,0.983056406,1,Student,Rural,Criminal Background
47,1,0,2,0.708231923,1,Student,Urban,Criminal Background
34,1,2,3,0.134334164,0,Unemployed,Urban,Criminal Background
27,1,0,0,0.392420193,1,Student,Rural,No Criminal Background
52,0,0,1,0.152725807,0,Employed,Urban,No Criminal Background
37,1,2,4,0.925273369,0,Part-Time,Rural,Criminal Background
35,1,1,0,0.944522656,1,Part-Time,Rural,Criminal Background
62,1,0,3,0.871167305,0,Unemployed,Urban,No Criminal Background
61,0,2,1,0.71748217,0,Employed,Urban,No Criminal Background
44,1,1,1,0.638874857,0,Part-Time,Rural,No Criminal Background
66,1,2,1,0.157469612,0,Employed,Rural,No Criminal Background
53,1,1,3,0.454978944,0,Unemployed,Urban,Criminal Background
40,0,0,0,0.150607372,1,Employed,Urban,Criminal Background
49,0,3,4,0.917015126,0,Unemployed,Urban,No Criminal Background
27,1,2,1,0.168240215,1,Part-Time,Rural,Criminal Background
28,1,0,1,0.70211355,1,Part-Time,Urban,Criminal Background
55,0,2,0,0.761480929,0,Part-Time,Urban,Criminal Background
23,0,2,1,0.505234927,0,Part-Time,Urban,No Criminal Background
58,0,1,1,0.178501823,0,Student,Urban,No Criminal Background
64,0,2,3,0.363594954,0,Employed,Rural,Criminal Background
51,0,1,2,0.443649049,0,Employed,Rural,No Criminal Background
53,1,0,0,0.700385133,1,Employed,Urban,No Criminal Background
54,1,2,0,0.130804472,1,Unemployed,Urban,No Criminal Background
34,1,0,0,0.957574286,0,Part-Time,Rural,Criminal Background
57,1,3,3,0.76100729,0,Part-Time,Urban,Criminal Background
57,0,0,3,0.23670294,0,Student,Rural,Criminal Background
29,0,2,4,0.913698347,0,Student,Rural,No Criminal Background
38,0,3,3,0.772132725,1,Part-Time,Rural,No Criminal Background
57,0,1,0,1,1,Employed,Rural,Criminal Background
36,0,3,4,0.207821411,0,Employed,Urban,No Criminal Background
20,1,2,2,0.182016822,0,Part-Time,Rural,No Criminal Background
35,1,2,1,0.271956584,0,Unemployed,Urban,No Criminal Background
68,1,0,1,0.365871703,0,Employed,Urban,No Criminal Background
36,1,1,4,1,0,Part-Time,Rural,Criminal Background
64,1,2,2,0.774820134,0,Part-Time,Rural,Criminal Background
23,0,2,1,1,0,Student,Rural,No Criminal Background
33,0,1,4,0.08513012,0,Student,Urban,Criminal Background
25,0,1,3,0.016017005,0,Part-Time,Rural,Criminal Background
65,0,0,0,0.928631151,0,Unemployed,Rural,Criminal Background
35,0,3,2,0.322577058,0,Part-Time,Rural,No Criminal Background
69,1,1,1,0.400894675,0,Employed,Urban,Criminal Background
65,1,2,0,0.726289791,0,Unemployed,Rural,No Criminal Background
60,1,1,4,0.148396615,0,Unemployed,Rural,Criminal Background
56,0,2,1,0.742312051,1,Student,Rural,Criminal Background
66,0,0,0,0.357662191,0,Part-Time,Urban,Criminal Background
66,0,3,3,0.803864565,0,Student,Rural,Criminal Background
29,0,0,2,0.917407604,1,Employed,Urban,No Criminal Background
62,1,1,4,0.2053336,0,Student,Urban,Criminal Background
27,0,2,1,1,1,Employed,Urban,Criminal Background
24,1,1,3,0.636825769,0,Part-Time,Urban,Criminal Background
63,0,1,2,1,0,Part-Time,Urban,Criminal Background
18,1,1,2,0.261739904,0,Student,Rural,Criminal Background
66,0,1,3,0.921716238,0,Student,Rural,No Criminal Background
53,0,3,1,0.444275829,0,Student,Urban,No Criminal Background
38,1,2,2,0.85164441,0,Employed,Urban,No Criminal Background
54,1,1,4,0.836154342,1,Unemployed,Urban,No Criminal Background
69,0,2,0,0.688118258,0,Unemployed,Urban,Criminal Background
41,1,3,4,0.958634677,0,Student,Rural,No Criminal Background
42,0,2,2,0.435570209,0,Student,Rural,No Criminal Background
24,0,2,0,0.266176048,1,Part-Time,Urban,Criminal Background
59,1,3,3,0.668911306,1,Student,Urban,No Criminal Background
34,0,1,0,0.823717537,1,Part-Time,Urban,No Criminal Background
46,0,2,0,0.507154288,0,Employed,Rural,Criminal Background
